Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,4929377169","0,4437626802","0,3415205063","0,4201811789","0,2115575799","0,2829570768","0,1918572891","0,4412222179","0,4",1
"0,4999283339","0,4095062525","0,3148823292","0,4355396908","0,4648337085","0,2716081066","0,2229088309","0,4648439753","0,4",1
"0,4929377169","0,3707969058","0,2804116033","0,4115272686","0,2640839194",1,"0,6741999998","0,3689764235","0,4",1
"0,4929377169","0,4363689352","0,3374588129","0,4205144855","0,2138959047","0,2159987201","0,1706071223","0,1907510237","0,4",1
"0,4992128265","0,4458765458","0,3428850544","0,4240272803","0,448364203","0,2419148563","0,1785199675","0,3791327238","0,4",1
"0,4989673517","0,4763939398","0,3775247708","0,4209177992","0,6092262017","0,2807938031","0,180638407","0,5823912857","0,4",1
"0,4929377169","0,4863766696","0,3866253119","0,4195758195","0,595856958","0,2322967935","0,1695212303","0,3854639778","0,4",1
"0,5510746226","0,4312886125","0,336747827","0,4176457145","0,2819862752","0,2239852564","0,1763136716","0,297625719","0,4",1
"0,4993066637","0,4195030159","0,3291370971","0,4272050111","0,2115575799","0,2478413684","0,1898269533","0,3803771681","0,4",1
"0,5224069184","0,4645732809","0,3604317381","0,4176154959","0,2155172144","0,2245074621","0,177039201","0,3160832921","0,4",1
"0,5291580796","0,4415338339","0,3406700629","0,4182098365","0,2258768495","0,224479825","0,1770814407","0,2854784704","0,4",1
"0,5288019797","0,4240573723","0,3310455385","0,4246386065","0,2143635697","0,2209376783","0,1840090647","0,2513458224","0,4",1
"0,5140373745","0,4245828055","0,3319974715","0,4222458546","0,2211224373","0,2187080819","0,1947109836","0,2331232004","0,4",1
"0,569535495","0,4427262108","0,3504128741","0,4182825047","0,2164064789","0,2171921309","0,1707737023","0,2364268999","0,4",1
"0,5299626331","0,4117007099","0,3156402518","0,4186234443","0,2115575799","0,2120470771","0,1925412064","0,1800646738","0,4",1
"0,6790585636","0,4152516044","0,3286210163","0,4234637162","0,2234026915","0,2139268184","0,2036299209","0,2005897748",0,1
"0,5247569856","0,4463098947","0,3435910104","0,4190261517","0,4197922218","0,2184403691","0,1867287168","0,2266623479",0,1
"0,5107142625","0,4381164877","0,34224464","0,4190807016","0,2823178561","0,2252144257","0,1773375437","0,2970053496",0,1
"0,4929377169","0,3307173435","0,2706686125","0,4163123292","0,2205768329","0,2111610193","0,1629227055","0,1675205518",0,1
"0,4996478977","0,4466211853","0,364580525","0,4249964863","0,3209565492","0,2197493153","0,1652067189","0,351712072",0,1
"0,4929377169","0,5718049396","0,468217573","0,4115272686","0,2115575799","0,2149882593","0,1603124496","0,3278344178",0,1
"0,5217694054","0,4686581329","0,3781736173","0,4350840079","0,2375889143","0,2535619226","0,1687976396","0,552426995","0,4",1
"0,5670910621","0,3619166768","0,2920373372","0,4339178986","0,8433907539","0,2379409544","0,1722767725","0,4806542806","0,4",1
"0,5464892594","0,5939125063","0,4700365497","0,503327191","0,2115575799","0,2629811183","0,1735259194","0,8674613863","0,4",1
"0,5024413266","0,4210464483","0,3295518871","0,4323016946","0,2115575799","0,2725313837","0,1906963392","0,3660138722","0,4",1
"0,4998245793","0,441083126","0,3399460084","0,4212334222","0,3629376653","0,2774029428","0,1839371427","0,512903364","0,6",1
"0,4995052396","0,4408543108","0,3487184554","0,4239733088","0,4070300443","0,2334180438","0,191650162","0,2936073969","0,6",1
